idnum,year,time,average_pay,average_pay_ln,wcouncil,wcouncil_f,wagree,wagree_f,sector,profit,profit_f,emp,empt,empw,firmsize,firmsize_f
295,2003,5,2189.608695652174,7.691478129061374,0,NoWC,1,SA,manufacturing,4,good,207,0.101,0.734,3,less250
359,1998,0,986.2820531542056,6.893942371661582,0,NoWC,0,NoSA,construction,1,unsatisfactory,214,0.005,0.757,3,less250
359,1999,1,1492.9874205508474,7.308534371884704,0,NoWC,0,NoSA,construction,4,good,236,0.008,0.593,3,less250
359,2000,2,1655.4271941489362,7.411814377855894,0,NoWC,0,NoSA,construction,4,good,188,0.005,0.633,3,less250
359,2001,3,1626.891229281768,7.394426251438922,0,NoWC,0,NoSA,construction,3,satisfactory,181,0.006,0.785,3,less250
368,2016,18,3705.2033898305085,8.217493432264078,1,WC,0,NoSA,buservices,2,sufficient,59,0.508,0.932,2,less100
368,2017,19,2577.7254901960782,7.8546626961368,1,WC,0,NoSA,buservices,4,good,102,0.353,0.941,3,less250
368,2018,20,2055.564516129032,7.628305792918603,0,NoWC,0,NoSA,buservices,4,good,124,0.266,0.919,3,less250
368,2019,21,1385.764705882353,7.234007400462514,0,NoWC,0,NoSA,buservices,2,sufficient,153,0.203,0.915,3,less250
375,2001,3,1084.6786434331798,6.989039040936679,0,NoWC,0,NoSA,health,3,satisfactory,434,0.007,0.177,4,more250
375,2003,5,3486.5307692307692,8.15666247187116,0,NoWC,0,NoSA,health,2,sufficient,130,0.015,0.177,3,less250
375,2004,6,4925.79,8.502239946833878,0,NoWC,0,NoSA,health,4,good,100,0.01,0.16,2,less100
375,2005,7,4832.416666666667,8.483101966581327,0,NoWC,0,NoSA,health,4,good,96,0.01,0.156,2,less100
375,2006,8,3752.891304347826,8.230281836378227,0,NoWC,0,NoSA,health,4,good,92,0.011,0.141,2,less100
388,1999,1,3575.574742268041,8.18188120927445,0,NoWC,0,NoSA,public,2,sufficient,97,0.072,0.639,2,less100
388,2000,2,3702.8877976190474,8.216868280054612,0,NoWC,0,NoSA,public,2,sufficient,105,0.01,0.752,3,less250
388,2001,3,3757.9416666666666,8.23162665741192,0,NoWC,0,NoSA,public,3,satisfactory,105,0.019,0.648,3,less250
401,2007,9,316.9230769230769,5.758659084882035,1,WC,1,SA,buservices,4,good,78,0.064,0.09,2,less100
401,2008,10,450.59493670886076,6.110568791159292,1,WC,1,SA,buservices,4,good,79,0.127,0.089,2,less100
401,2009,11,452.71084337349396,6.115253606824577,1,WC,1,SA,buservices,4,good,83,0.12,0.108,2,less100
401,2011,13,677.2739726027397,6.5180758773158445,1,WC,1,SA,buservices,3,satisfactory,73,0.11,0.096,2,less100
420,2011,13,1875.857142857143,7.536820976803692,1,WC,0,NoSA,buservices,3,satisfactory,77,0.325,0.195,2,less100
420,2012,14,1963.64,7.582555172724023,1,WC,0,NoSA,buservices,3,satisfactory,75,0.627,0.213,2,less100
420,2013,15,1904.3536585365853,7.551897943132557,1,WC,0,NoSA,buservices,2,sufficient,82,0.573,0.22,2,less100
420,2014,16,1759,7.472500744737558,1,WC,0,NoSA,buservices,2,sufficient,86,0.535,0.244,2,less100
424,2007,9,567.2020202020202,6.340715536921766,1,WC,0,NoSA,manufacturing,4,good,99,0.02,0.253,2,less100
424,2008,10,728.84,6.591454229181678,1,WC,0,NoSA,manufacturing,4,good,100,0.03,0.24,2,less100
424,2012,14,1202.3636363636363,7.092044595436237,1,WC,0,NoSA,manufacturing,5,very good,77,0.026,0.195,2,less100
424,2013,15,1231.15,7.115703970913804,1,WC,0,NoSA,manufacturing,3,satisfactory,60,0.083,0.167,2,less100
424,2015,17,2638.160714285714,7.877837254198538,1,WC,0,NoSA,manufacturing,3,satisfactory,56,0.143,0.179,2,less100
424,2016,18,2036.6101694915253,7.619042023092242,1,WC,0,NoSA,manufacturing,4,good,59,0.136,0.186,2,less100
424,2017,19,1876.031746031746,7.536914051614754,1,WC,0,NoSA,manufacturing,3,satisfactory,63,0.111,0.175,2,less100
438,2012,14,1286.5277777777778,7.159702223232018,1,WC,0,NoSA,wholesretail,3,satisfactory,36,0.028,0.056,1,less50
438,2014,16,2270.3214285714284,7.727676698940945,1,WC,0,NoSA,wholesretail,3,satisfactory,28,0.036,0.071,1,less50
438,2016,18,2689.4615384615386,7.897096280983245,1,WC,0,NoSA,wholesretail,3,satisfactory,26,0.077,0.077,1,less50
438,2019,21,2482.233333333333,7.816913971552692,1,WC,0,NoSA,wholesretail,2,sufficient,30,0.033,0.067,1,less50
438,2020,22,2490.032258064516,7.820050944420828,1,WC,0,NoSA,transcom,3,satisfactory,31,0.097,0.097,1,less50
446,2019,21,6141.375,8.72280393743814,0,NoWC,0,NoSA,transcom,4,good,64,0.219,0.625,2,less100
446,2020,22,5459.010101010101,8.605022752120785,0,NoWC,0,NoSA,wholesretail,2,sufficient,99,0.051,0.616,2,less100
446,2021,23,2329.6901408450703,7.75349055095445,0,NoWC,0,NoSA,wholesretail,3,satisfactory,213,0.174,0.718,3,less250
525,2000,2,279.8310178360849,5.634185913256889,1,WC,1,SA,art,3,satisfactory,106,0.066,0.094,3,less250
525,2001,3,749.2869192477876,6.6191219799214585,1,WC,0,NoSA,art,4,good,113,0.027,0.071,3,less250
